日期        淨值    市價   原油價格
2016/05/21  18.95   19.02  48.48
2016/05/20  18.95   19.02  48.48
2016/05/19  19.00   18.71  48.70
2016/05/18  19.02   19.02  48.44
2016/05/17  18.82   18.90  49.08
2016/05/16  18.38   18.56  47.86
2016/05/15  18.54   18.36  46.18
2016/05/14  18.54   18.36  46.36
2016/05/13  18.54   18.36  46.36
2016/05/12  18.38   18.27  46.42
2016/05/11  17.79   17.63  46.02
2016/05/10  17.22   17.28  44.62
2016/05/09  17.69   17.83  43.28
2016/05/08  17.50   17.33  45.48
2016/05/07  17.50   17.33  44.58
2016/05/06  17.50   17.33  44.58
2016/05/05  17.34   17.54  44.55
2016/05/04  17.37   17.42  44.11
2016/05/03  18.11   17.76  43.84
2016/05/02  18.21   18.20  44.84
2016/05/01  18.21   18.20  45.87
2016/04/30  18.21   18.20  46.01
2016/04/29  18.21   18.20  46.01
2016/04/28  18.02   17.85  45.84
2016/04/27  17.57   17.63  45.30
2016/04/24  17.14   17.33  43.62
2016/04/23  17.14   17.33  43.79
2016/04/22  17.14   17.33  43.79
2016/04/21  17.47   17.36  43.45
2016/04/20  16.89   16.49  43.96
2016/04/19  16.51   16.36  42.27
2016/04/18  16.61   16.00  40.02
2016/04/17  16.95   16.92  40.44
2016/04/16  16.95   16.92  40.44
2016/04/15  16.95   16.92  40.44
2016/04/14  17.12   16.88  41.44
2016/04/13  17.22   17.04  41.62
2016/04/12  16.68   16.54  41.68
2016/04/11  16.37   16.33  40.39
2016/04/10  15.50   15.79  40.06
2016/04/09  15.50   15.79  39.67
2016/04/08  15.50   15.79  39.67
2016/04/07  15.74   15.85  37.64
2016/04/06  15.59   15.43  37.74
2016/04/05  16.17   15.98  36.61
2016/04/04  16.17   15.98  35.44
2016/04/03  16.17   15.98  36.66
2016/04/02  16.17   15.98  36.65
2016/04/01  16.17   15.98  36.65
2016/03/31  16.13   16.00  38.12
2016/03/30  16.01   16.13  38.25
2016/03/27  16.37   16.35  39.63
2016/03/26  16.37   16.35  39.60
2016/03/25  16.37   16.35  39.60
2016/03/24  16.44   16.38  39.60
2016/03/23  16.90   16.70  39.64
2016/03/22  16.75   16.66  41.20
2016/03/21  16.62   16.45  41.65
2016/03/20  16.77   16.65  40.94
2016/03/19  16.77   16.65  
2016/03/18  16.77   16.65  41.16
2016/03/17  16.40   16.38  
2016/03/16  15.84   15.97  
2016/03/15  16.06   15.91  36.74
2016/03/14  16.54   16.47  
2016/03/13  16.34   16.59  38.56
2016/03/12  16.34   16.59  38.48
2016/03/11  16.34   16.59  38.48
2016/03/10  16.62   16.49  38.02
2016/03/09  16.13   16.17  38.20
2016/03/08  16.69   16.35  36.32
2016/03/07  16.02   16.25  37.99
2016/03/06  15.45   15.51  36.32
2016/03/05  15.45   15.51  36.32
2016/03/04  15.45   15.51  36.32
2016/03/03  15.42   15.42  34.70
2016/03/02  15.43   15.35  34.74
2016/03/01  15.00   15.35  33.90
2016/02/29  15.21   15.11  33.90
2016/02/28  15.21   15.11  32.85
2016/02/27  15.21   15.11  32.85
2016/02/26  15.21   15.11  32.85
2016/02/25  15.06   14.99  33.09
2016/02/24  14.76   14.70  32.24
2016/02/23  15.17   15.05  31.39
2016/02/22  14.63   14.97  33.36
2016/02/21  15.07   15.12  31.96
2016/02/20  15.07   15.12  31.96
2016/02/19  15.07   15.12  31.96
2016/02/18  15.24   15.45  32.74
2016/02/17  14.49   15.05  33.65
2016/02/16  14.96   15.46  31.21
2016/02/15  15.53   15.16  29.77
2016/02/14  15.53   14.94  29.08
2016/02/13  15.53   14.94  29.08
2016/02/12  15.53   14.94  29.08
2016/02/11  15.53   14.94  27.29
2016/02/10  15.53   14.94  27.32
2016/02/09  15.53   14.94  28.33
2016/02/08  15.53   14.94  30.14
2016/02/07  15.53   14.94  31.00
2016/02/06  15.53   14.94  31.00
2016/02/05  15.53   14.94  31.00
2016/02/04  15.53   14.94  31.80
2016/02/02  14.87   14.94  32.56
2016/02/01  15.89   15.63  31.28
2016/01/31  15.89   15.74  33.13
2016/01/29  15.48   15.69  33.44
2016/01/28  15.13   15.07  31.99
2016/01/27  14.79   14.80  31.2 
2016/01/26  14.40   14.30  29.51
2016/01/25  14.84   15.04  31.19 
2016/01/22  14.84   14.08  25.38
2016/01/22  14.84   14.08  25.38
2016/01/21  13.79   13.51  22.49
2016/01/20  13.40   13.61  22.94
2016/01/19  13.65   14.32  24.56
2016/01/18  13.90   13.95  25.27
2016/01/15  13.89   14.53  25.27
2016/01/14  14.61   14.40  25.72
2016/01/13  14.29   14.77  27.12
2016/01/12  14.58   15.03  26.26
2016/01/11  15.02   15.49  28.47
2016/01/08  15.65   15.91  29.26
2016/01/07  15.65   15.69  28.22
2016/01/06  15.89   16.50  29.95
2016/01/05  16.46   16.76  32.29
2016/01/04  16.66   16.95  33.1 
2015/12/31  16.66   16.43  32.13
2015/12/30  16.33   16.55  32.25
2015/12/29  16.68   16.46  31.18
2015/12/28  16.35   17.77  32
2015/12/24  16.76   17.98  32
2015/12/23  16.41   17.67  32
2015/12/22  16.03   17.67  31.94
2015/12/21  16.15   17.98  31.87
2015/12/18  16.38   17.86  32.4
2015/12/17  16.51   18.05  32.36
2015/12/16  16.60   18.25  31.87
2015/12/15  17.02   18.11  32.48

Ref:
淨值與市價
http://www.moneydj.com/ETF/X/Basic/Basic0003.xdjhtm?etfid=00642U.TW
原油價格
http://www.plus500.com/zh/Instruments/CL

    
